TAG,TEXT,LINK
<p>,"students","http://thapar.edu/"
<p>,"250","http://thapar.edu/"
<p>,"acres campus","http://thapar.edu/"
<p>,"16","http://thapar.edu/"
<p>,"centres of excellence","http://thapar.edu/"
<p>,"601-800","http://thapar.edu/"
<p>,"Times Higher Education (THE) World University Ranking 2020","http://thapar.edu/"
<p>,"30 th","http://thapar.edu/"
<p>,"QS India University Rankings 2020","http://thapar.edu/"
<p>,"151-200","http://thapar.edu/"
<p>,"Times Higher Education (THE) Golden Age University Rankings 2018","http://thapar.edu/"
<p>,"The Thapar Institute of Engineering & Technology here on 19 Jan 2018, Friday signed a comprehensive institutional agreement with Israel's Tel Aviv University (TAU), covering...","http://thapar.edu/"
<p>,"Event full of uplifting stories at Thapar Institute of Engineering & Technology...","http://thapar.edu/"
<p>,"Thapar Institute of Engineering & Technology ties up with Trinity College...","http://thapar.edu/"
<p>,"Thapar Institute of Engineering & Technology earns Accreditation from Engineering Accreditation Commission (EAC) of ABET...","http://thapar.edu/"
<p>,"Thapar Institute of Engineering & Technology is proud to share that its placements for the year 2011-12 are expected to touch 100% mark....","http://thapar.edu/"
<p>,"ISCBC Conference-2021","http://thapar.edu/"
<p>,"","http://thapar.edu/"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/"
<p>,"Subscribe To our newsletter","http://thapar.edu/"
<p>,"","http://thapar.edu/"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/"
<p>,"","http://thapar.edu/"
<p>,"+91-175-2393021","http://thapar.edu/"
<p>,"info@thapar.edu","http://thapar.edu/"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/"
<p>,"admissions@thapar.edu","http://thapar.edu/"
<p>,"Applications queries +91-8882134828","http://thapar.edu/"
<p>,"technical_support@thapar.edu","http://thapar.edu/"
<p>,"Thapar Institute of Engineering & Technology offers its academic programmes under three units:","http://thapar.edu/programmes"
<p>,"These departments conduct undergraduate, postgraduate and doctoral programmes, which are in sync with relevant engineering/technological disciplines. While the schools provide postgraduate and doctoral programmes, the centres are special interdisciplinary units, which cater to the academic requirements of the University.","http://thapar.edu/programmes"
<p>,"For more information- Click Here.","http://thapar.edu/programmes"
<p>,"","http://thapar.edu/programmes"
<p>,"","http://thapar.edu/programmes"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/programmes"
<p>,"Subscribe To our newsletter","http://thapar.edu/programmes"
<p>,"","http://thapar.edu/programmes"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/programmes"
<p>,"","http://thapar.edu/programmes"
<p>,"+91-175-2393021","http://thapar.edu/programmes"
<p>,"info@thapar.edu","http://thapar.edu/programmes"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/programmes"
<p>,"admissions@thapar.edu","http://thapar.edu/programmes"
<p>,"Applications queries +91-8882134828","http://thapar.edu/programmes"
<p>,"technical_support@thapar.edu","http://thapar.edu/programmes"
<p>,"Admissions are open for MBA Programme at LM Thapar School of Management.","http://thapar.edu/admissions"
<p>,"Admissions 2020-21 for Undergraduate, Postgraduate and Ph.D. Programmes are now open. Apply Now!","http://thapar.edu/admissions"
<p>,"2018 has been a successful academic year for Thapar Institute of Engineering & Technology. Fostering innovative programmes in engineering, science and humanities, Thapar Institute of Engineering & Technology has strong industry alignments that ensure the perfect mix of a sound skill set and a well-implemented curriculum for its students. Whether it's undergraduate, postgraduate or PhD programmes, Thapar Institute of Engineering & Technology imparts knowledge that is well in sync with the latest sector trends and nuances. If you are keen to take your knowledge to the next level and make a difference in the world, apply for one of our courses today.","http://thapar.edu/admissions"
<p>,"","http://thapar.edu/admissions"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/admissions"
<p>,"Subscribe To our newsletter","http://thapar.edu/admissions"
<p>,"","http://thapar.edu/admissions"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/admissions"
<p>,"","http://thapar.edu/admissions"
<p>,"+91-175-2393021","http://thapar.edu/admissions"
<p>,"info@thapar.edu","http://thapar.edu/admissions"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/admissions"
<p>,"admissions@thapar.edu","http://thapar.edu/admissions"
<p>,"Applications queries +91-8882134828","http://thapar.edu/admissions"
<p>,"technical_support@thapar.edu","http://thapar.edu/admissions"
<p>,"","http://thapar.edu/admissions/pages/eligibility"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/admissions/pages/eligibility"
<p>,"Subscribe To our newsletter","http://thapar.edu/admissions/pages/eligibility"
<p>,"","http://thapar.edu/admissions/pages/eligibility"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/admissions/pages/eligibility"
<p>,"","http://thapar.edu/admissions/pages/eligibility"
<p>,"+91-175-2393021","http://thapar.edu/admissions/pages/eligibility"
<p>,"info@thapar.edu","http://thapar.edu/admissions/pages/eligibility"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/admissions/pages/eligibility"
<p>,"admissions@thapar.edu","http://thapar.edu/admissions/pages/eligibility"
<p>,"Applications queries +91-8882134828","http://thapar.edu/admissions/pages/eligibility"
<p>,"technical_support@thapar.edu","http://thapar.edu/admissions/pages/eligibility"
<p>,"Thapar Institute of Engineering & Technology offers scholarships to the deserving. Rewarding hard work is what we strongly believe in, and the scholarships at Thapar Institute of Engineering & Technology leave no stone unturned to strengthen the inherent skills and capabilities of our students. To know more about the eligibility criteria, terms and conditions : Click here","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/admissions/pages/scholarships"
<p>,"1) TIET 'Class of 1965 & 1987' Sch.'","http://thapar.edu/admissions/pages/scholarships"
<p>,"2) TIET 'Class of 1988& 1989' Sch.'","http://thapar.edu/admissions/pages/scholarships"
<p>,"3) Alumni Scholarships","http://thapar.edu/admissions/pages/scholarships"
<p>,"OTHER SCHOLARSHIPS","http://thapar.edu/admissions/pages/scholarships"
<p>,"Notice for SPDC Scholarship Scheme 2017-18- NAAC A Institutions","http://thapar.edu/admissions/pages/scholarships"
<p>,"Guru Harkrishan Educational Society Scholarships for the year 2017-18","http://thapar.edu/admissions/pages/scholarships"
<p>,"Engineers India Ltd. Scholarship for SC & ST students","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/admissions/pages/scholarships"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/admissions/pages/scholarships"
<p>,"Subscribe To our newsletter","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/admissions/pages/scholarships"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/admissions/pages/scholarships"
<p>,"+91-175-2393021","http://thapar.edu/admissions/pages/scholarships"
<p>,"info@thapar.edu","http://thapar.edu/admissions/pages/scholarships"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/admissions/pages/scholarships"
<p>,"admissions@thapar.edu","http://thapar.edu/admissions/pages/scholarships"
<p>,"Applications queries +91-8882134828","http://thapar.edu/admissions/pages/scholarships"
<p>,"technical_support@thapar.edu","http://thapar.edu/admissions/pages/scholarships"
<p>,"","http://thapar.edu/aboutus"
<p>,"The Thapar Institute of Engineering and Technology (TIET) is one of India's oldest and finest educational institutions, which provides a steady source of highly skilled talent to the nation as well as overseas. Founded in 1956 with a campus spread across sprawling 250 acres, Thapar Institute of Engineering & Technology, located in Patiala, has been a pioneer in engineering education, research and innovation. Our community involves ingenious minds solvers who are eager to make the world a better place to live in with their innovative techniques and discoveries.","http://thapar.edu/aboutus"
<p>,"Rated amongst the top ranked innovation-driven private universities and technical institutes in the country, Thapar Institute of Engineering & Technology has been accredited with an 'A+' grade by the National Assessment and Accreditation Council (NAAC). We constantly evolve our teaching methods, and provide quality education to our students, whom we see as unique individuals with different interests and aspirations. We keep the quality of our curriculum, faculty and infrastructure unparalleled, and believe in encouraging thousands of young minds to excel in India and abroad. Our alumni have stood out in varied fields such as business and industry, administrative and regulatory services, research and education, and social and human rights organisations.","http://thapar.edu/aboutus"
<p>,"","http://thapar.edu/aboutus"
<p>,"Thapar Institute of Engineering & Technology, which comprises of inter-disciplinary exploration and invention, has contributed to many technological advancements and scientific breakthroughs within India and beyond. The teaching pedagogy employed for the engineering programmes offered at Thapar Institute of Engineering & Technology reflects the long held ethos, which advocate that engineering education should be broad-based and should enable students to develop their professional careers, while finding solutions for the unseen challenges that lie ahead.","http://thapar.edu/aboutus"
<p>,"Our sole mission is to provide a scholarly and professional environment that enables our faculty, students and staff to make lasting contributions to the advancement of learning. We aim to be dynamic, innovative and flexible in devising academic programmes, structures and mechanisms. We believe in carrying out cutting-edge research and development for the benefit of society.","http://thapar.edu/aboutus"
<p>,"Our vision is to build a sustainable society through education, which is cent... read more","http://thapar.edu/aboutus"
<p>,"We, at Thapar Institute of Engineering & Technology, Patiala, are committ... read more","http://thapar.edu/aboutus"
<p>,"","http://thapar.edu/aboutus"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/aboutus"
<p>,"Subscribe To our newsletter","http://thapar.edu/aboutus"
<p>,"","http://thapar.edu/aboutus"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/aboutus"
<p>,"","http://thapar.edu/aboutus"
<p>,"+91-175-2393021","http://thapar.edu/aboutus"
<p>,"info@thapar.edu","http://thapar.edu/aboutus"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/aboutus"
<p>,"admissions@thapar.edu","http://thapar.edu/aboutus"
<p>,"Applications queries +91-8882134828","http://thapar.edu/aboutus"
<p>,"technical_support@thapar.edu","http://thapar.edu/aboutus"
<p>,"Thapar Institute of Engineering and Technology is located in a sprawling green campus comprising of more than 250 acres in the historic city of Patiala.","http://thapar.edu/aboutus/pages/history"
<p>,"Thapar Institute of Engineering and Technology was established in 1956 through an brilliant and futiristic between the then State of PEPSU (Patiala and East Punjab States Union), the Central Government and the Patiala Technical Education Trust (PTET) founded by one of the great captains of Indian Industry, the late Lala Karam Chand Thapar. The mission of the institution as embodied in the Trust Deed dated April 9, 1956, is truly remarkable for their scope and vision. They provide for undergraduate and post graduate education in engineering & technology, a close interaction with industry, and a strong emphasis on basic and applied research.","http://thapar.edu/aboutus/pages/history"
<p>,"Thapar Institute of Engineering and Technology is today recognized among the premier institutions imparting technical education of the country and the best of its kind in the north-western region of India. It is an example of pioneering experiment of joint venture between public and private sector in higher technical education. TIET is a unique campus with extraordinary potential for development of indigenous technology and its transfer to engineering industries.","http://thapar.edu/aboutus/pages/history"
<p>,"Thapar Institute of Engineering and Technology strives to maintain an environment that encourages scholarly inquiry and research, a spirit of creative independence and deep commitment to academic excellence. Its students are unique individuals with different interests and aspirations. The diverse programmes and activities aimed at developing quality of mind, ethical standards, social awareness and global perspectives, let the students shape their own TIET experience and grow. The alumni of Thapar Institute of Engineering and Technology are well placed for their quality and performance across the globe which is reflected in their excellent contribution to society in varied fields such as business and industry, administrative and regulatory services, research, education, social and human rights organizations.","http://thapar.edu/aboutus/pages/history"
<p>,"","http://thapar.edu/aboutus/pages/history"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/aboutus/pages/history"
<p>,"Subscribe To our newsletter","http://thapar.edu/aboutus/pages/history"
<p>,"","http://thapar.edu/aboutus/pages/history"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/aboutus/pages/history"
<p>,"","http://thapar.edu/aboutus/pages/history"
<p>,"+91-175-2393021","http://thapar.edu/aboutus/pages/history"
<p>,"info@thapar.edu","http://thapar.edu/aboutus/pages/history"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/aboutus/pages/history"
<p>,"admissions@thapar.edu","http://thapar.edu/aboutus/pages/history"
<p>,"Applications queries +91-8882134828","http://thapar.edu/aboutus/pages/history"
<p>,"technical_support@thapar.edu","http://thapar.edu/aboutus/pages/history"
<p>,"Our vision is to build a sustainable society through education, which is centered around extensive learning, research and development. We wish to be recognised as a leader committed to excellence in higher education, and to give our students the power to innovate and discover countless possibilities through academic learning and exposure.","http://thapar.edu/aboutus/pages/vision"
<p>,"Thapar Institute of Engineering and Technology, which comprises of inter-disciplinary exploration and invention, has contributed to the many technological advancements and scientific breakthroughs within India and beyond. The teaching pedagogy employed for the engineering programmes offered at Thapar Institute of Engineering and Technology reflects the long held ethos, which advocate that engineering education should be broad-based and should enable students to develop their professional careers, while finding solutions for the unseen challenges that lie ahead.","http://thapar.edu/aboutus/pages/vision"
<p>,"Our sole mission is to provide a scholarly and professional environment that enables our faculty, students and staff to make lasting contributions to the advancement of learning. We aim to be dynamic, innovative and flexible in devising academic programmes, structures and mechanisms. We believe in carrying out cutting-edge research and development for the benefit of society.","http://thapar.edu/aboutus/pages/vision"
<p>,"","http://thapar.edu/aboutus/pages/vision"
<p>,"","http://thapar.edu/aboutus/pages/vision"
<p>,"","http://thapar.edu/aboutus/pages/vision"
<p>,"Thapar Institute of Engineering & Technology combines experience with new-age implementation.","http://thapar.edu/aboutus/pages/vision"
<p>,"Subscribe To our newsletter","http://thapar.edu/aboutus/pages/vision"
<p>,"","http://thapar.edu/aboutus/pages/vision"
<p>,"P.O. Box 32, Bhadson Road, Patiala, Punjab, Pin -147004, India","http://thapar.edu/aboutus/pages/vision"
<p>,"","http://thapar.edu/aboutus/pages/vision"
<p>,"+91-175-2393021","http://thapar.edu/aboutus/pages/vision"
<p>,"info@thapar.edu","http://thapar.edu/aboutus/pages/vision"
<p>,"Admission Helpline +91-8882134828","http://thapar.edu/aboutus/pages/vision"
<p>,"admissions@thapar.edu","http://thapar.edu/aboutus/pages/vision"
<p>,"Applications queries +91-8882134828","http://thapar.edu/aboutus/pages/vision"
<p>,"technical_support@thapar.edu","http://thapar.edu/aboutus/pages/vision"
<p>,"(i)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"The Chairman","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri R. R. Vederah","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Chairman","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Board of Governors","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Avantha Group","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"First India Place","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Tower C, 5th Floor","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Mehrauli Gurgaon Road","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"GURGAON – 122 002.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(ii)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"The Vice Chairman","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(iii)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"The Director, ex-officio","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Prof. Prakash Gopalan","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Director","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"TIET","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(iv)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Three nominees of the Trust to be nominated by the Chairman of the Trust","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri Sharad Sanjay Sen","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"First India Place,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Tower C, 5th Floor","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Mehrauli Gurgaon Road","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"GURGAON – 122 002.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Three persons having special knowledge in education, management, engineering or sciences nominated by the President","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Dr. A. Sivathanu Pillai","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Distinguished Scientist","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"DRDO","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"BANGALORE.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri J.S. Neerav","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"First India Place","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Tower C","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Mehrauli Gurgaon Road","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"GURGAON – 122 002.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(vi)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Two persons with industry background to be nominated by the President;","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri Rahul Sarin","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Tower 2, Flat 1201,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Vipul Belmonte,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Golf Course Road, Sector 53,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Gurgaon 122011.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri Anil Chaudhry","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Zone President & Managing Director","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"International Operations","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Schneider Electric, INDIA","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"9th Floor, Building No. 10","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Tower C, DLF Cyber City Phase II","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"GURGAON.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(vii)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"One person nominated by the Ministry of Education Govt. of India, Ministry of Human Resource & Development","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shri Sukhbir Singh Sandhu, AS (TET) & CVO,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Department of Higher Education","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Ministry of Human Resource Development Govt. of India","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Shastri Bhawan, Room No. 107,C-Wing,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"NEW DELHI – 110 001.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"One person nominated by the Chairman, Northern Regional Council, AICTE","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"-Nomination awaited -","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(ix)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"One person nominated by the Chairman, UGC","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"-Nomination awaited -","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(x)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"The Secretary, Department of Technical Education, Punjab Government (ex-officio)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Principal Secretary to Govt. Punjab","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Department of Technical Education &","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Industrial Training","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Punjab Mini Secretariat,","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Sector 9","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"CHANDIGARH - 160 009","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(xi)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"The Secretary, Department of Finance, Punjab Govt. ex-officio or his nominee not below the rank of Deputy Secretary, Finance, Pb. Govt.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Principal Secretary to Govt. Punjab","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Department of Finance","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Punjab Mini Secretariat","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Sector - 9","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"CHANDIGARH -160 003.","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(xii)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"One Distinguished Professor / Professor of the University by rotation in order of seniority;","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(Upto 1.1.2020 to 31.12.2021)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Dr. O.P. Pandey","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Senior Professor","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"School of Physics & Material Science","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(xiii)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"One Associate Professor of the University in the order of Seniority","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(Upto 1.1.2020 to 31.12.2021)","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Dr. Sarbjit Singh","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Associate Professor","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"Department of Civil Engineering","http://thapar.edu/aboutus/pages/board-of-governors"
<p>,"(xiv)","http://thapar.edu/aboutus/pages/board-of-governors"
